Company Name,Sector,Industry,Country,Stock Symbol,Trailing Twelve Months (TTM) CFMS,Year-to-Date (YTD) CFMS,Latest Reported Quarter CFMS,2nd Latest Reported Quarter CFMS,3rd Latest Reported Quarter CFMS,4th Latest Reported Quarter CFMS,5th Latest Reported Quarter CFMS,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
NVIDIA Corporation,Technology,Semiconductors,US,NVDA,77.0,77.0,70.0,65.0,77.0,74.0,68.0,58.0,71.0,70.0,73.0,66.0,72.0,67.0,71.0,64.0,61.0
Apple Inc.,Technology,Consumer Electronics,US,AAPL,69.0,69.0,68.0,71.0,67.0,76.0,62.0,66.0,73.0,72.0,71.0,65.0,71.0,66.0,66.0,78.0,74.0
Microsoft Corporation,Technology,Software - Infrastructure,US,MSFT,74.0,74.0,68.0,72.0,80.0,61.0,70.0,68.0,74.0,74.0,73.0,73.0,72.0,73.0,73.0,69.0,73.0
"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail,US,AMZN,74.0,74.0,64.0,68.0,66.0,77.0,68.0,74.0,36.0,55.0,74.0,72.0,73.0,62.0,69.0,65.0,34.0
Alphabet Inc.,Communication Services,Internet Content & Information,US,GOOGL,68.0,70.0,69.0,65.0,77.0,60.0,70.0,70.0,72.0,73.0,71.0,70.0,70.0,68.0,74.0,68.0,69.0
"Meta Platforms, Inc.",Communication Services,Internet Content & Information,US,META,76.0,78.0,74.0,70.0,77.0,70.0,75.0,78.0,73.0,78.0,71.0,78.0,73.0,76.0,77.0,74.0,70.0
"Tesla, Inc.",Consumer Cyclical,Auto - Manufacturers,US,TSLA,56.0,56.0,70.0,71.0,41.0,61.0,60.0,56.0,69.0,73.0,66.0,38.0,40.0,30.0,36.0,17.0,19.0
Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,US,BRK-B,56.0,64.0,42.0,54.0,58.0,53.0,46.0,64.0,35.0,46.0,50.0,47.0,58.0,64.0,58.0,57.0,62.0
Broadcom Inc.,Technology,Semiconductors,US,AVGO,70.0,72.0,44.0,67.0,75.0,71.0,70.0,72.0,78.0,77.0,79.0,76.0,71.0,78.0,46.0,79.0,71.0
Eli Lilly and Company,Healthcare,Drug Manufacturers - General,US,LLY,54.0,54.0,77.0,62.0,72.0,49.0,50.0,54.0,66.0,69.0,70.0,61.0,68.0,42.0,72.0,51.0,58.0
Walmart Inc.,Consumer Defensive,Discount Stores,US,WMT,66.0,68.0,56.0,74.0,52.0,78.0,48.0,65.0,59.0,71.0,60.0,65.0,61.0,70.0,61.0,65.0,56.0
JPMorgan Chase & Co.,Financial Services,Banks - Diversified,US,JPM,39.0,48.0,24.0,76.0,34.0,69.0,71.0,48.0,68.0,68.0,20.0,32.0,49.0,24.0,36.0,67.0,32.0
