Cash Flow Momentum Score (CMS)-S&P 500 Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Index Weight,Stock Symbol,TTM,Latest Fiscal Year,Latest Qtr,Previous Qtr,2 QTR ago,3 Qtr Ago,4 QTR Ago,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Nvidia Corp,6.36%,NVDA,57,56,47,54,66,53,56,56,31,53,51,62,46,55,51,69,55,53,45,65,56,31,6,73,55,68,47,13
Apple Inc.,6.21%,AAPL,50,48,55,56,51,63,37,53,43,61,54,57,48,58,55,56,76,67,62,64,72,63,57,74,65,33,69,65
Microsoft Corp,5.63%,MSFT,59,57,52,59,71,39,52,59,45,60,58,57,60,61,68,68,64,66,54,75,59,66,51,63,62,49,61,45
Amazon.com Inc,3.89%,AMZN,62,62,46,50,NA,72,50,NA,62,21,28,65,61,62,51,63,61,26,55,17,50,51,67,64,69,50,59,41
"Meta Platforms, Inc. Class A",2.55%,META,66,72,65,55,70,58,65,NA,72,66,69,53,71,57,68,69,70,62,73,54,65,58,39,21,15,NA,NA,NA
Alphabet Inc. Class A,3.87%,GOOGL,46,53,53,45,NA,36,56,NA,54,62,58,60,57,57,59,70,58,58,52,62,62,53,57,72,60,54,67,68
"Tesla, Inc.",1.88%,TSLA,26,24,58,57,17,40,39,NA,25,50,59,61,23,30,26,29,5,4,28,4,12,6,26,32,17,15,NA,NA
Alphabet Inc. Class C,3.86%,GOOG,46,53,53,45,66,36,56,NA,54,62,58,60,57,57,59,70,58,58,52,62,62,53,57,72,60,54,67,68
Berkshire Hathaway Class B,1.85%,BRK-B,39,47,24,36,40,36,29,NA,47,22,28,35,31,45,54,45,42,53,56,43,53,46,59,46,41,36,48,30
Broadcom Inc.,1.41%,AVGO,61,56,35,55,71,59,55,NA,57,74,71,80,74,60,80,43,76,70,47,47,64,66,18,68,19,NA,NA,NA
Jpmorgan Chase & Co.,1.26%,JPM,19,25,6,67,17,70,73,NA,25,70,66,6,10,39,8,25,74,21,56,28,70,36,89,71,21,22,26,17
Eli Lilly & Co.,1.29%,LLY,26,23,68,41,56,28,40,NA,24,44,49,54,35,50,38,66,27,42,53,44,64,71,45,64,73,73,31,40
