Company Name,Sector,Industry,Country,Stock Symbol,Trailing Twelve Months (TTM) CFMS,Year-to-Date (YTD) CFMS,Latest Reported Quarter CFMS,2nd Latest Reported Quarter CFMS,3rd Latest Reported Quarter CFMS,4th Latest Reported Quarter CFMS,5th Latest Reported Quarter CFMS,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
NVIDIA Corporation,Technology,Semiconductors,US,NVDA,49.0,49.0,51.0,48.0,57.0,53.0,43.0,61.0,51.0,66.0,73.0,46.0,53.0,46.0,73.0,62.0,73.0
Apple Inc.,Technology,Consumer Electronics,US,AAPL,60.0,60.0,71.0,62.0,54.0,59.0,49.0,56.0,64.0,57.0,66.0,60.0,59.0,58.0,60.0,64.0,63.0
Microsoft Corporation,Technology,Software - Infrastructure,US,MSFT,63.0,63.0,63.0,70.0,70.0,51.0,61.0,59.0,64.0,63.0,65.0,62.0,85.0,65.0,66.0,81.0,61.0
"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail,US,AMZN,80.0,86.0,69.0,74.0,77.0,88.0,75.0,86.0,1.0,67.0,88.0,90.0,88.0,95.0,95.0,99.0,1.0
Alphabet Inc.,Communication Services,Internet Content & Information,US,GOOGL,55.0,64.0,57.0,57.0,64.0,53.0,65.0,64.0,74.0,61.0,71.0,70.0,69.0,86.0,72.0,66.0,65.0
"Meta Platforms, Inc.",Communication Services,Internet Content & Information,US,META,67.0,75.0,66.0,65.0,72.0,64.0,69.0,75.0,85.0,70.0,64.0,77.0,60.0,64.0,65.0,81.0,72.0
"Tesla, Inc.",Consumer Cyclical,Auto - Manufacturers,US,TSLA,56.0,46.0,84.0,81.0,30.0,40.0,69.0,46.0,62.0,81.0,96.0,6.0,7.0,18.0,23.0,32.0,21.0
Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,US,BRK-B,30.0,32.0,29.0,33.0,49.0,35.0,11.0,31.0,7.0,29.0,54.0,29.0,97.0,47.0,57.0,57.0,65.0
Broadcom Inc.,Technology,Semiconductors,US,AVGO,90.0,61.0,8.0,78.0,89.0,63.0,62.0,61.0,72.0,81.0,91.0,91.0,35.0,90.0,7.0,69.0,93.0
Eli Lilly and Company,Healthcare,Drug Manufacturers - General,US,LLY,40.0,42.0,89.0,34.0,38.0,22.0,1.0,42.0,61.0,65.0,57.0,52.0,72.0,1.0,70.0,51.0,71.0
Walmart Inc.,Consumer Defensive,Discount Stores,US,WMT,77.0,82.0,64.0,83.0,49.0,84.0,70.0,84.0,79.0,88.0,73.0,93.0,87.0,81.0,72.0,70.0,61.0
JPMorgan Chase & Co.,Financial Services,Banks - Diversified,US,JPM,6.0,26.0,5.0,60.0,3.0,93.0,87.0,25.0,90.0,74.0,7.0,23.0,26.0,16.0,38.0,87.0,67.0
Visa Inc.,Financial Services,Financial - Credit Services,US,V,51.0,52.0,59.0,55.0,55.0,46.0,63.0,58.0,66.0,63.0,55.0,53.0,57.0,60.0,43.0,47.0,56.0
UnitedHealth Group Incorporated,Healthcare,Medical - Healthcare Plans,US,UNH,56.0,61.0,78.0,69.0,15.0,14.0,56.0,61.0,67.0,64.0,67.0,62.0,60.0,56.0,57.0,69.0,59.0
Exxon Mobil Corporation,Energy,Oil & Gas Integrated,US,XOM,71.0,68.0,74.0,58.0,76.0,71.0,69.0,68.0,69.0,82.0,15.0,79.0,73.0,64.0,86.0,73.0,58.0
Oracle Corporation,Technology,Software - Infrastructure,US,ORCL,72.0,74.0,80.0,75.0,82.0,27.0,83.0,78.0,71.0,60.0,63.0,62.0,92.0,64.0,63.0,62.0,57.0
Mastercard Incorporated,Financial Services,Financial - Credit Services,US,MA,56.0,54.0,66.0,52.0,39.0,66.0,51.0,54.0,60.0,57.0,59.0,51.0,50.0,61.0,48.0,47.0,41.0
Costco Wholesale Corporation,Consumer Defensive,Discount Stores,US,COST,68.0,68.0,59.0,72.0,35.0,83.0,68.0,73.0,66.0,77.0,81.0,73.0,75.0,83.0,59.0,72.0,73.0
"The Home Depot, Inc.",Consumer Cyclical,Home Improvement,US,HD,63.0,64.0,57.0,59.0,71.0,69.0,54.0,45.0,55.0,70.0,61.0,57.0,63.0,54.0,56.0,57.0,59.0
The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,US,PG,63.0,62.0,55.0,73.0,69.0,58.0,54.0,57.0,61.0,64.0,64.0,92.0,68.0,39.0,61.0,76.0,51.0
"Netflix, Inc.",Communication Services,Entertainment,US,NFLX,50.0,63.0,53.0,37.0,54.0,71.0,56.0,63.0,29.0,20.0,51.0,9.0,7.0,5.0,2.0,3.0,19.0
Johnson & Johnson,Healthcare,Drug Manufacturers - General,US,JNJ,71.0,36.0,84.0,59.0,61.0,73.0,29.0,35.0,63.0,58.0,70.0,69.0,65.0,98.0,49.0,55.0,49.0
Bank of America Corporation,Financial Services,Banks - Diversified,US,BAC,19.0,72.0,5.0,83.0,9.0,96.0,64.0,72.0,14.0,15.0,79.0,82.0,64.0,29.0,46.0,70.0,94.0
