                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Stock Symbol,TTM,Latest Fiscal Year,Latest Qtr,Previous Qtr,2 QTR ago,3 Qtr Ago,4 QTR Ago,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Nvidia Corp,NVDA,96.20,93.40,96.00,98.00,96.60,95.00,92.60,98.00,59.40,83.60,69.60,71.90,73.80,73.90,65.10,41.90,38.00,22.20,30.80,34.80,10.00,2.80,12.60,63.90,42.30,47.10,20.20,19.80
Apple Inc.,AAPL,72.40,72.20,68.40,67.80,70.20,76.60,70.20,86.70,70.00,69.20,67.40,65.50,67.00,68.40,70.20,74.60,80.00,77.50,75.50,80.60,74.40,70.90,62.80,57.60,49.30,35.60,25.80,11.40
Microsoft Corp,MSFT,92.00,91.20,93.00,90.80,91.40,91.60,93.60,96.90,89.40,89.60,89.00,90.20,89.10,84.20,83.40,81.40,81.40,82.10,83.90,86.50,84.90,87.60,86.10,85.00,83.90,84.30,76.50,49.30
Amazon.com Inc,AMZN,34.00,25.00,36.80,35.60,39.00,31.20,31.40,#VALUE!,25.00,15.40,18.40,23.20,21.70,18.00,12.40,13.90,11.40,6.90,7.10,7.20,4.90,8.70,14.80,16.40,10.90,8.80,12.10,14.70
"Meta Platforms, Inc. Class A",META,89.80,86.60,91.20,88.00,87.80,91.20,89.20,#VALUE!,86.60,74.80,86.20,89.20,90.70,89.90,94.70,92.80,89.30,91.30,91.20,58.90,92.30,95.00,89.00,3.80,1.60,#VALUE!,#VALUE!,#VALUE!
Alphabet Inc. Class A,GOOGL,75.60,68.20,77.20,76.20,           ,67.80,74.60,#VALUE!,68.40,67.40,72.60,70.30,69.40,69.00,74.00,78.10,78.90,77.80,80.30,82.10,82.10,86.60,87.90,86.80,81.60,83.80,81.90,73.50
"Tesla, Inc.",TSLA,23.60,25.80,30.20,20.00,19.40,24.60,21.20,#VALUE!,25.80,43.80,30.20,25.10,12.90,9.10,2.60,5.90,2.10,2.70,3.10,0.20,0.20,0.20,1.50,0.40,0.00,3.50,#VALUE!,#VALUE!
Alphabet Inc. Class C,GOOG,75.60,68.20,77.20,76.20,76.40,67.80,74.60,#VALUE!,68.40,67.40,72.60,70.30,69.40,69.00,74.00,78.10,78.90,77.80,80.30,82.10,82.10,86.60,87.90,86.80,81.60,83.80,81.90,73.50
Berkshire Hathaway Class B,BRK-B,87.60,76.40,98.80,36.80,39.40,32.00,35.00,#VALUE!,76.80,1.00,0.80,1.80,1.00,8.90,30.40,47.60,53.10,47.00,51.00,41.80,34.50,45.60,39.00,27.10,52.00,52.00,45.10,42.80
Broadcom Inc.,AVGO,87.20,92.60,86.20,87.00,84.00,93.00,94.20,#VALUE!,92.80,93.40,91.40,90.00,87.70,86.80,85.20,65.60,85.10,68.80,72.00,74.10,72.10,71.60,41.90,51.80,12.30,#VALUE!,#VALUE!,#VALUE!
Jpmorgan Chase & Co.,JPM,93.80,91.00,3.40,91.20,86.80,3.40,3.40,#VALUE!,91.40,2.20,2.40,6.20,2.00,1.60,2.40,3.10,2.70,1.70,0.60,97.50,90.60,88.90,83.30,96.40,99.30,98.80,94.90,90.90
Eli Lilly & Co.,LLY,67.00,54.00,37.60,80.60,74.40,80.80,98.20,#VALUE!,54.60,69.00,64.40,71.50,67.40,86.00,75.90,47.00,55.80,49.70,57.10,47.50,69.30,79.20,81.70,95.30,82.00,82.20,78.60,78.80
