Free Cash Flow Yield Normalized Score -S&P 500 Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Stock Symbol,TTM,Latest Fiscal Year,Latest Qtr,Previous Qtr,2 QTR ago,3 Qtr Ago,4 QTR Ago,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Nvidia Corp,NVDA,16.00,18.20,26.30,35.20,49.00,32.80,23.60,16.80,13.60,17.60,18.60,33.90,44.70,17.80,28.20,78.30,77.50,75.10,82.80,77.20,34.30,36.90,8.60,63.40,49.90,57.00,24.80,11.60
Apple Inc.,AAPL,36.60,33.50,33.10,43.00,53.20,53.60,28.60,38.60,41.40,56.60,51.60,45.90,70.20,64.20,79.90,87.10,89.50,86.10,90.00,64.30,68.70,51.00,44.80,60.50,41.00,33.30,58.50,57.00
Microsoft Corp,MSFT,25.00,22.20,29.70,34.60,46.20,21.80,33.80,23.80,23.20,43.00,34.20,34.10,44.10,42.90,73.40,73.20,74.60,82.50,85.40,87.30,82.30,80.30,59.30,58.90,62.40,63.00,63.90,47.30
Amazon.com Inc,AMZN,20.20,21.40,16.80,19.60,30.20,68.80,26.20,NA,21.40,8.40,10.20,22.60,23.50,20.40,16.40,28.60,24.40,19.10,15.90,15.00,23.00,24.70,39.30,52.80,38.70,38.10,33.30,30.70
"Meta Platforms, Inc. Class A",META,45.60,60.10,50.70,46.00,63.60,55.40,68.00,NA,60.80,69.00,54.60,35.30,42.50,39.70,39.40,35.40,22.10,20.80,20.50,15.20,15.40,13.20,16.50,22.10,19.60,NA,NA,NA
Alphabet Inc. Class A,GOOGL,28.60,47.10,39.40,30.60,57.00,24.00,54.20,NA,46.60,64.00,44.80,43.30,37.00,29.10,38.70,51.50,29.30,32.20,27.40,55.30,46.30,29.30,34.50,48.50,27.10,24.50,23.00,18.70
"Tesla, Inc.",TSLA,11.20,12.80,19.60,15.80,17.60,20.60,13.40,NA,12.00,22.20,13.20,17.20,16.50,10.70,3.40,4.70,3.50,5.20,10.70,2.50,2.80,2.20,10.30,19.20,15.90,18.00,NA,NA
Alphabet Inc. Class C,GOOG,28.60,47.10,39.40,30.60,57.00,24.00,54.20,NA,46.60,64.00,44.80,43.30,37.00,29.10,38.70,51.50,29.30,32.20,27.40,55.30,46.30,29.30,34.50,48.50,27.10,24.50,23.00,18.70
Berkshire Hathaway Class B,BRK-B,21.20,45.50,12.30,51.60,47.20,49.20,42.40,NA,45.60,41.40,52.40,60.10,50.50,48.00,83.20,54.00,53.50,53.00,62.80,45.60,56.90,49.50,55.40,35.40,39.90,43.20,59.30,48.50
Broadcom Inc.,AVGO,26.80,62.30,34.10,36.80,55.20,57.80,47.60,NA,63.00,82.40,72.80,80.80,82.70,82.60,66.70,44.60,62.20,37.00,43.90,52.50,65.70,62.50,22.60,38.40,39.20,NA,NA,NA
Jpmorgan Chase & Co.,JPM,0.60,26.70,0.80,90.80,0.00,98.80,98.80,NA,26.20,98.40,95.80,2.40,16.70,43.50,10.80,74.60,99.20,0.00,0.40,0.00,1.10,87.20,100.00,0.70,0.50,0.90,3.30,2.60
Eli Lilly & Co.,LLY,10.00,9.40,14.50,12.60,26.80,12.40,9.60,NA,10.20,18.60,26.40,33.70,29.20,18.40,49.50,52.80,17.40,40.50,84.30,72.60,84.90,88.50,68.40,86.20,74.90,60.50,21.10,21.00
Unitedhealth Group Incorporated,UNH,27.60,64.90,80.20,61.40,28.40,8.00,50.20,NA,65.40,58.00,56.40,71.10,70.80,63.20,70.00,61.80,78.90,78.60,79.90,86.10,81.70,86.60,85.90,79.00,71.80,82.40,54.10,70.20
Exxon Mobil Corporation,XOM,76.60,82.40,77.80,45.80,85.20,70.20,77.00,NA,82.80,89.40,92.60,12.20,19.50,63.40,52.30,20.00,16.70,30.40,22.80,50.60,51.20,48.80,19.60,73.40,75.60,79.70,84.50,82.70
Visa Inc.,V,36.40,38.30,52.10,47.00,52.00,31.00,55.60,42.60,50.40,59.80,39.00,27.70,35.20,34.20,42.40,27.20,37.60,58.60,20.30,37.80,41.60,31.00,18.00,22.80,23.50,23.80,19.90,14.90
Mastercard Incorporated,MA,32.60,29.50,52.30,36.60,33.40,45.20,31.80,NA,29.20,37.20,29.80,24.20,23.90,25.70,37.70,36.20,32.60,30.10,36.00,40.50,45.80,43.20,30.80,26.40,30.30,50.30,36.30,60.80
Costco Wholesale Corp,COST,18.00,17.20,20.00,27.80,24.40,58.00,34.80,15.80,28.40,19.20,32.80,48.70,25.40,24.10,76.50,17.40,30.00,39.70,25.30,32.90,49.90,58.80,31.40,28.40,33.90,36.70,45.00,73.30
"Home Depot, Inc.",HD,53.60,62.10,38.80,62.00,74.20,48.40,48.40,70.30,40.40,46.00,68.60,55.30,62.60,41.70,62.90,53.80,56.40,68.40,63.20,73.20,50.50,68.80,74.50,38.60,59.00,39.00,37.50,32.90
Procter & Gamble Company,PG,51.80,52.90,36.60,61.60,69.00,39.80,44.60,59.40,45.20,49.40,61.60,59.90,52.50,62.60,51.90,59.30,57.90,54.30,51.90,49.80,49.00,61.20,60.20,56.90,62.60,60.70,55.00,55.30
Johnson & Johnson,JNJ,68.20,56.50,62.60,62.40,50.20,65.20,63.60,NA,56.60,47.60,58.20,61.50,64.60,60.30,62.30,56.20,67.60,60.10,57.90,61.60,55.70,65.30,62.40,59.40,69.50,68.80,56.70,50.40
Walmart Inc.,WMT,62.80,38.10,81.80,55.60,24.60,78.00,6.00,41.60,32.20,34.60,75.20,56.30,74.40,64.00,92.50,82.60,70.20,45.10,58.60,46.20,46.90,56.40,49.20,31.60,31.90,27.30,20.60,29.60
