Company Name,Sector,Industry,Country,Stock Symbol,Trailing Twelve Months (TTM) CFMS,Year-to-Date (YTD) CFMS,Latest Reported Quarter CFMS,2nd Latest Reported Quarter CFMS,3rd Latest Reported Quarter CFMS,4th Latest Reported Quarter CFMS,5th Latest Reported Quarter CFMS,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
NVIDIA Corporation,Technology,Semiconductors,US,NVDA,95.0,93.0,94.0,95.0,95.0,93.0,93.0,78.0,82.0,77.0,78.0,78.0,76.0,71.0,60.0,58.0,48.0
Apple Inc.,Technology,Consumer Electronics,US,AAPL,84.0,83.0,82.0,82.0,83.0,83.0,80.0,82.0,76.0,76.0,75.0,75.0,73.0,73.0,75.0,78.0,75.0
Microsoft Corporation,Technology,Software - Infrastructure,US,MSFT,93.0,92.0,93.0,91.0,92.0,90.0,92.0,91.0,86.0,88.0,90.0,88.0,82.0,80.0,79.0,78.0,78.0
"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail,US,AMZN,67.0,65.0,68.0,69.0,70.0,63.0,61.0,64.0,49.0,53.0,55.0,54.0,49.0,41.0,41.0,37.0,31.0
Alphabet Inc.,Communication Services,Internet Content & Information,US,GOOGL,85.0,82.0,86.0,85.0,85.0,80.0,82.0,82.0,75.0,78.0,78.0,76.0,74.0,75.0,77.0,76.0,75.0
"Meta Platforms, Inc.",Communication Services,Internet Content & Information,US,META,92.0,89.0,92.0,90.0,90.0,90.0,90.0,88.0,78.0,86.0,89.0,89.0,86.0,90.0,89.0,85.0,87.0
"Tesla, Inc.",Consumer Cyclical,Auto - Manufacturers,US,TSLA,59.0,65.0,64.0,59.0,58.0,59.0,55.0,64.0,66.0,61.0,57.0,46.0,39.0,18.0,31.0,13.0,23.0
Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,US,BRK-B,90.0,86.0,98.0,69.0,70.0,64.0,63.0,85.0,21.0,16.0,13.0,14.0,39.0,56.0,62.0,64.0,61.0
Broadcom Inc.,Technology,Semiconductors,US,AVGO,90.0,93.0,89.0,89.0,88.0,91.0,92.0,93.0,89.0,90.0,90.0,87.0,83.0,82.0,71.0,82.0,71.0
Eli Lilly and Company,Healthcare,Drug Manufacturers - General,US,LLY,81.0,77.0,68.0,87.0,85.0,85.0,95.0,76.0,76.0,74.0,78.0,75.0,83.0,76.0,62.0,65.0,62.0
Walmart Inc.,Consumer Defensive,Discount Stores,US,WMT,41.0,48.0,42.0,49.0,49.0,46.0,38.0,45.0,41.0,41.0,43.0,37.0,37.0,37.0,36.0,36.0,35.0
JPMorgan Chase & Co.,Financial Services,Banks - Diversified,US,JPM,94.0,92.0,23.0,91.0,89.0,27.0,23.0,92.0,23.0,22.0,23.0,20.0,18.0,18.0,16.0,15.0,13.0
Visa Inc.,Financial Services,Financial - Credit Services,US,V,97.0,96.0,95.0,95.0,95.0,95.0,94.0,95.0,93.0,95.0,96.0,95.0,93.0,94.0,94.0,94.0,94.0
UnitedHealth Group Incorporated,Healthcare,Medical - Healthcare Plans,US,UNH,44.0,53.0,51.0,51.0,52.0,50.0,49.0,53.0,46.0,45.0,49.0,46.0,42.0,41.0,39.0,38.0,39.0
Exxon Mobil Corporation,Energy,Oil & Gas Integrated,US,XOM,72.0,74.0,70.0,69.0,69.0,70.0,68.0,73.0,67.0,59.0,50.0,54.0,55.0,51.0,47.0,51.0,51.0
Oracle Corporation,Technology,Software - Infrastructure,US,ORCL,88.0,87.0,86.0,88.0,88.0,86.0,83.0,85.0,83.0,85.0,88.0,86.0,81.0,81.0,82.0,84.0,83.0
Mastercard Incorporated,Financial Services,Financial - Credit Services,US,MA,94.0,94.0,92.0,94.0,94.0,92.0,93.0,94.0,90.0,91.0,93.0,93.0,90.0,90.0,90.0,90.0,90.0
