Company Name,Sector,Industry,Country,Stock Symbol,Trailing Twelve Months (TTM) CFMS,Year-to-Date (YTD) CFMS,Latest Reported Quarter CFMS,2nd Latest Reported Quarter CFMS,3rd Latest Reported Quarter CFMS,4th Latest Reported Quarter CFMS,5th Latest Reported Quarter CFMS,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
NVIDIA Corporation,Technology,Semiconductors,US,NVDA,48.0,49.0,47.0,51.0,62.0,53.0,52.0,46.0,52.0,51.0,55.0,61.0,49.0,51.0,75.0,74.0,76.0
Apple Inc.,Technology,Consumer Electronics,US,AAPL,56.0,55.0,51.0,57.0,64.0,60.0,52.0,59.0,66.0,63.0,58.0,71.0,69.0,76.0,82.0,86.0,84.0
Microsoft Corporation,Technology,Software - Infrastructure,US,MSFT,51.0,51.0,49.0,54.0,62.0,47.0,54.0,52.0,61.0,58.0,55.0,60.0,60.0,73.0,72.0,72.0,82.0
"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail,US,AMZN,50.0,50.0,43.0,49.0,54.0,67.0,51.0,51.0,39.0,38.0,49.0,53.0,51.0,44.0,49.0,48.0,47.0
Alphabet Inc.,Communication Services,Internet Content & Information,US,GOOGL,54.0,59.0,53.0,53.0,66.0,49.0,60.0,60.0,68.0,61.0,58.0,58.0,54.0,56.0,62.0,51.0,55.0
"Meta Platforms, Inc.",Communication Services,Internet Content & Information,US,META,59.0,63.0,57.0,58.0,68.0,61.0,66.0,64.0,70.0,65.0,55.0,60.0,59.0,56.0,53.0,47.0,48.0
"Tesla, Inc.",Consumer Cyclical,Auto - Manufacturers,US,TSLA,42.0,45.0,45.0,46.0,44.0,47.0,45.0,45.0,55.0,46.0,44.0,49.0,37.0,17.0,21.0,21.0,26.0
Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,US,BRK-B,50.0,59.0,37.0,60.0,62.0,59.0,57.0,59.0,60.0,63.0,63.0,62.0,62.0,79.0,63.0,62.0,65.0
Broadcom Inc.,Technology,Semiconductors,US,AVGO,52.0,64.0,51.0,55.0,65.0,62.0,59.0,64.0,78.0,73.0,75.0,79.0,81.0,68.0,59.0,66.0,58.0
Eli Lilly and Company,Healthcare,Drug Manufacturers - General,US,LLY,39.0,40.0,39.0,44.0,52.0,38.0,38.0,40.0,53.0,55.0,55.0,56.0,49.0,60.0,62.0,44.0,59.0
Walmart Inc.,Consumer Defensive,Discount Stores,US,WMT,65.0,57.0,74.0,62.0,49.0,74.0,33.0,55.0,59.0,75.0,62.0,73.0,69.0,89.0,78.0,70.0,62.0
JPMorgan Chase & Co.,Financial Services,Banks - Diversified,US,JPM,17.0,53.0,11.0,86.0,5.0,96.0,95.0,53.0,96.0,92.0,8.0,49.0,60.0,35.0,73.0,97.0,4.0
Visa Inc.,Financial Services,Financial - Credit Services,US,V,56.0,61.0,57.0,58.0,64.0,52.0,61.0,61.0,67.0,59.0,52.0,58.0,57.0,57.0,48.0,55.0,67.0
UnitedHealth Group Incorporated,Healthcare,Medical - Healthcare Plans,US,UNH,52.0,65.0,72.0,64.0,53.0,31.0,59.0,66.0,66.0,65.0,68.0,72.0,68.0,70.0,66.0,76.0,78.0
Exxon Mobil Corporation,Energy,Oil & Gas Integrated,US,XOM,72.0,76.0,71.0,58.0,79.0,68.0,72.0,76.0,85.0,89.0,32.0,51.0,68.0,61.0,43.0,43.0,55.0
Oracle Corporation,Technology,Software - Infrastructure,US,ORCL,50.0,58.0,60.0,60.0,71.0,39.0,65.0,55.0,58.0,72.0,70.0,77.0,74.0,76.0,77.0,72.0,81.0
Mastercard Incorporated,Financial Services,Financial - Credit Services,US,MA,54.0,54.0,58.0,55.0,55.0,57.0,54.0,54.0,59.0,56.0,50.0,54.0,53.0,55.0,54.0,53.0,55.0
Costco Wholesale Corporation,Consumer Defensive,Discount Stores,US,COST,47.0,49.0,45.0,52.0,49.0,62.0,55.0,54.0,53.0,57.0,59.0,54.0,52.0,74.0,41.0,52.0,59.0
"The Home Depot, Inc.",Consumer Cyclical,Home Improvement,US,HD,61.0,64.0,53.0,64.0,73.0,58.0,59.0,58.0,62.0,71.0,61.0,67.0,60.0,66.0,63.0,63.0,73.0
The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,US,PG,60.0,61.0,52.0,64.0,71.0,55.0,58.0,59.0,63.0,67.0,63.0,63.0,68.0,61.0,65.0,63.0,65.0
"Netflix, Inc.",Communication Services,Entertainment,US,NFLX,49.0,56.0,51.0,50.0,65.0,53.0,58.0,56.0,52.0,43.0,46.0,30.0,30.0,28.0,25.0,30.0,35.0
Johnson & Johnson,Healthcare,Drug Manufacturers - General,US,JNJ,67.0,62.0,62.0,64.0,63.0,66.0,64.0,62.0,63.0,66.0,64.0,68.0,67.0,66.0,63.0,68.0,68.0
Bank of America Corporation,Financial Services,Banks - Diversified,US,BAC,39.0,92.0,11.0,92.0,19.0,96.0,88.0,92.0,38.0,34.0,87.0,94.0,92.0,57.0,80.0,92.0,93.0
"Salesforce, Inc.",Technology,Software - Application,US,CRM,58.0,57.0,45.0,77.0,70.0,53.0,47.0,59.0,57.0,53.0,53.0,54.0,52.0,55.0,47.0,48.0,48.0
AbbVie Inc.,Healthcare,Drug Manufacturers - General,US,ABBV,66.0,75.0,62.0,54.0,71.0,66.0,76.0,76.0,77.0,81.0,78.0,85.0,81.0,74.0,73.0,75.0,54.0
Chevron Corporation,Energy,Oil & Gas Integrated,US,CVX,74.0,72.0,70.0,57.0,68.0,78.0,63.0,73.0,82.0,81.0,47.0,71.0,78.0,54.0,26.0,22.0,31.0
The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,US,KO,46.0,59.0,35.0,62.0,52.0,53.0,64.0,59.0,61.0,66.0,58.0,59.0,54.0,53.0,54.0,59.0,64.0
