Company Name,Sector,Industry,Country,Stock Symbol,Trailing Twelve Months (TTM) CFMS,Year-to-Date (YTD) CFMS,Latest Reported Quarter CFMS,2nd Latest Reported Quarter CFMS,3rd Latest Reported Quarter CFMS,4th Latest Reported Quarter CFMS,5th Latest Reported Quarter CFMS,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
NVIDIA Corporation,Technology,Semiconductors,US,NVDA,95.0,95.0,58.0,37.0,74.0,74.0,55.0,21.0,80.0,65.0,68.0,57.0,89.0,77.0,72.0,55.0,52.0
Apple Inc.,Technology,Consumer Electronics,US,AAPL,49.0,49.0,38.0,56.0,39.0,80.0,32.0,37.0,66.0,69.0,61.0,34.0,65.0,39.0,29.0,73.0,61.0
Microsoft Corporation,Technology,Software - Infrastructure,US,MSFT,67.0,67.0,37.0,50.0,82.0,27.0,49.0,43.0,65.0,67.0,61.0,68.0,57.0,65.0,62.0,35.0,62.0
"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail,US,AMZN,81.0,81.0,47.0,59.0,34.0,82.0,62.0,81.0,55.0,34.0,82.0,72.0,83.0,59.0,76.0,84.0,72.0
Alphabet Inc.,Communication Services,Internet Content & Information,US,GOOGL,52.0,52.0,55.0,36.0,79.0,27.0,49.0,53.0,53.0,73.0,63.0,64.0,71.0,50.0,76.0,62.0,68.0
"Meta Platforms, Inc.",Communication Services,Internet Content & Information,US,META,69.0,69.0,61.0,41.0,61.0,44.0,56.0,69.0,44.0,76.0,55.0,71.0,65.0,79.0,86.0,80.0,74.0
"Tesla, Inc.",Consumer Cyclical,Auto - Manufacturers,US,TSLA,35.0,35.0,75.0,98.0,21.0,66.0,50.0,36.0,71.0,83.0,90.0,64.0,100.0,79.0,85.0,2.0,9.0
Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,US,BRK-B,65.0,65.0,14.0,57.0,48.0,52.0,51.0,66.0,49.0,49.0,52.0,54.0,27.0,76.0,50.0,41.0,64.0
Broadcom Inc.,Technology,Semiconductors,US,AVGO,50.0,50.0,50.0,37.0,61.0,49.0,48.0,51.0,68.0,61.0,66.0,59.0,74.0,87.0,79.0,87.0,84.0
Eli Lilly and Company,Healthcare,Drug Manufacturers - General,US,LLY,20.0,20.0,85.0,55.0,96.0,11.0,91.0,21.0,51.0,60.0,72.0,32.0,39.0,62.0,85.0,21.0,28.0
